Train Loss	Train Loss X	Train Loss U	Mask	Total Acc.	Used Acc.	Test Loss	Test Acc.	Test GM.	
0.146864	0.004389	0.142475	0.900219	0.938500	0.970771	2.207643	67.550000	0.607366	
0.149559	0.005041	0.144518	0.898750	0.935969	0.969159	2.222836	67.330000	0.600374	
0.140857	0.003556	0.137301	0.902031	0.937375	0.969756	2.214889	67.440000	0.604662	
0.144416	0.004525	0.139891	0.901094	0.937906	0.970834	2.179428	67.730000	0.608968	
0.144414	0.004436	0.139979	0.902563	0.940281	0.971989	2.224573	67.560000	0.607316	
0.143655	0.003856	0.139799	0.903594	0.939969	0.971330	2.208812	67.900000	0.615369	
0.146571	0.003877	0.142694	0.902469	0.939063	0.970601	2.183504	68.100000	0.616224	
0.144577	0.004322	0.140255	0.905750	0.939562	0.970501	2.135016	68.320000	0.621829	
0.146867	0.004488	0.142379	0.904750	0.939375	0.969674	2.115860	68.350000	0.621318	
0.144484	0.003600	0.140884	0.904438	0.938781	0.970838	2.100956	68.510000	0.620178	
0.146835	0.004637	0.142199	0.903438	0.940031	0.970875	2.103437	68.440000	0.617144	
0.144586	0.005101	0.139485	0.900594	0.938781	0.970332	2.133116	68.550000	0.618124	
0.145306	0.003626	0.141680	0.906625	0.939625	0.970254	2.154890	68.420000	0.619476	
0.140203	0.003614	0.136589	0.906094	0.941094	0.969615	2.163429	68.320000	0.617804	
0.139406	0.003841	0.135565	0.904500	0.939625	0.971048	2.167338	68.440000	0.620191	
0.139690	0.003825	0.135866	0.907750	0.940063	0.970704	2.197552	68.530000	0.621483	
0.141117	0.004515	0.136601	0.906188	0.939594	0.968446	2.255551	68.190000	0.617942	
0.144182	0.003736	0.140445	0.908687	0.941187	0.970356	2.213350	68.230000	0.618388	
0.141121	0.004536	0.136585	0.906937	0.940281	0.969437	2.219703	68.100000	0.615908	
0.138185	0.003266	0.134919	0.907406	0.939906	0.969453	2.238481	67.620000	0.609896	
0.141633	0.003610	0.138024	0.910594	0.940688	0.969182	2.186481	67.780000	0.611856	
0.140511	0.004289	0.136222	0.906750	0.940969	0.970223	2.152072	67.890000	0.614883	
0.138444	0.003902	0.134543	0.908469	0.940719	0.970486	2.162563	68.060000	0.618607	
0.136997	0.003423	0.133574	0.906125	0.940219	0.970203	2.136630	68.520000	0.624125	
0.135956	0.003257	0.132699	0.910406	0.941406	0.970515	2.158149	68.620000	0.622527	
0.139636	0.003755	0.135881	0.914687	0.940219	0.968705	2.176774	68.250000	0.617633	
0.142008	0.004122	0.137886	0.910094	0.942531	0.970710	2.144675	68.310000	0.619134	
0.138322	0.003000	0.135322	0.912563	0.941438	0.969077	2.191793	67.910000	0.610962	
0.140005	0.004230	0.135774	0.912250	0.942375	0.970917	2.209997	68.170000	0.614219	
0.137352	0.003702	0.133650	0.910406	0.940438	0.969519	2.212639	68.030000	0.610048	
0.138326	0.003298	0.135028	0.913312	0.940844	0.969342	2.237258	68.080000	0.611695	
0.136006	0.003539	0.132467	0.916750	0.941562	0.970071	2.186020	68.470000	0.619754	
0.135584	0.003360	0.132224	0.914031	0.941344	0.968990	2.184058	68.490000	0.618988	
0.135711	0.003796	0.131915	0.916094	0.941875	0.969572	2.206886	68.280000	0.615358	
0.137443	0.002824	0.134619	0.913594	0.942312	0.970583	2.201897	68.360000	0.616073	
0.136404	0.003049	0.133354	0.914312	0.942625	0.970265	2.161999	68.850000	0.625711	
0.133357	0.004562	0.128794	0.916531	0.943125	0.969757	2.137750	69.080000	0.628547	
0.134265	0.003116	0.131149	0.916813	0.942125	0.969391	2.150674	68.840000	0.625431	
0.132722	0.003836	0.128886	0.911906	0.941094	0.969946	2.147564	68.610000	0.622579	
0.136420	0.003478	0.132942	0.914937	0.942187	0.969124	2.201370	68.700000	0.620495	
0.137294	0.002527	0.134767	0.919156	0.942969	0.969231	2.226687	68.450000	0.615446	
0.135710	0.004115	0.131595	0.917562	0.943375	0.968667	2.227288	68.620000	0.619499	
0.134049	0.003417	0.130632	0.915281	0.941031	0.969067	2.255614	68.250000	0.611845	
0.133142	0.002842	0.130299	0.916156	0.942937	0.968789	2.299527	67.810000	0.607155	
0.135309	0.004095	0.131214	0.918312	0.942625	0.969101	2.315285	67.650000	0.599017	
0.134524	0.002855	0.131669	0.917875	0.944000	0.969120	2.221862	68.220000	0.612425	
0.135590	0.004814	0.130775	0.916188	0.942906	0.969473	2.198436	68.220000	0.614512	
0.133858	0.003405	0.130453	0.917750	0.943781	0.968673	2.189905	68.600000	0.619435	
0.132098	0.002770	0.129329	0.917219	0.941750	0.968826	2.132743	68.760000	0.626544	
0.130654	0.003570	0.127084	0.917844	0.942187	0.968302	2.139469	68.870000	0.628290	
0.134733	0.003032	0.131701	0.917281	0.942438	0.968351	2.120079	69.070000	0.632869	
0.135265	0.003909	0.131357	0.916219	0.942969	0.969406	2.118251	69.080000	0.630686	
0.130789	0.003141	0.127648	0.920031	0.944813	0.968377	2.118797	68.770000	0.626130	
0.133243	0.003952	0.129291	0.918813	0.943531	0.969288	2.133397	68.690000	0.623704	
0.131306	0.002999	0.128307	0.917594	0.943344	0.968941	2.144816	68.510000	0.621606	
0.128832	0.002571	0.126261	0.921687	0.943781	0.969316	2.201550	68.470000	0.616799	
0.134740	0.003220	0.131520	0.917406	0.942125	0.967606	2.204548	68.540000	0.621448	
0.128438	0.002971	0.125467	0.921250	0.943469	0.969708	2.196870	68.470000	0.619688	
0.131100	0.003375	0.127725	0.921625	0.943312	0.967551	2.204773	68.530000	0.620518	
0.132406	0.003248	0.129158	0.920687	0.943312	0.967212	2.199068	68.520000	0.622607	
0.129797	0.003499	0.126298	0.927125	0.944594	0.969159	2.210164	68.290000	0.616551	
0.133590	0.004533	0.129058	0.923125	0.943219	0.968483	2.180103	68.430000	0.617310	
0.129755	0.002487	0.127268	0.925937	0.945812	0.969153	2.192816	68.380000	0.614325	
0.130880	0.002716	0.128164	0.921781	0.944063	0.968132	2.211590	68.130000	0.609539	
0.132810	0.002854	0.129955	0.924562	0.942500	0.967924	2.188711	68.470000	0.615441	
0.133893	0.003162	0.130731	0.923156	0.943906	0.967537	2.204222	68.410000	0.616030	
0.128253	0.002911	0.125342	0.925844	0.944656	0.968103	2.204493	68.380000	0.618682	
0.130347	0.003036	0.127311	0.922906	0.943719	0.967799	2.191488	68.340000	0.615243	
0.130046	0.002800	0.127246	0.925344	0.943000	0.968356	2.162461	68.650000	0.620008	
0.125976	0.002537	0.123439	0.926781	0.946125	0.968911	2.239187	68.420000	0.617203	
0.131819	0.003101	0.128718	0.923750	0.944438	0.968843	2.262531	68.350000	0.614093	
0.131206	0.003602	0.127604	0.920469	0.944406	0.968766	2.224589	68.520000	0.615877	
0.132372	0.002700	0.129672	0.926031	0.944250	0.967604	2.216861	68.540000	0.617709	
0.130374	0.003345	0.127029	0.927000	0.945438	0.968817	2.184647	68.600000	0.619228	
0.128238	0.002313	0.125925	0.929813	0.945125	0.968307	2.169107	68.830000	0.625387	
0.128458	0.002390	0.126068	0.927188	0.944719	0.968487	2.172941	68.640000	0.620064	
0.127424	0.002786	0.124638	0.927875	0.944781	0.968039	2.187383	68.810000	0.620104	
0.130077	0.002656	0.127421	0.927063	0.945187	0.969224	2.129909	68.840000	0.625119	
0.129426	0.003600	0.125826	0.925438	0.943531	0.968697	2.144999	68.830000	0.622719	
0.125261	0.002907	0.122354	0.925406	0.944688	0.968291	2.130976	68.870000	0.623916	
0.127889	0.002688	0.125201	0.928312	0.946063	0.967178	2.128963	68.950000	0.625710	
0.125502	0.002583	0.122919	0.928281	0.945219	0.967716	2.154826	69.050000	0.625104	
0.128929	0.003171	0.125758	0.927906	0.945125	0.967332	2.170259	68.700000	0.619514	
0.123309	0.002745	0.120564	0.930250	0.945625	0.967112	2.204343	68.660000	0.617917	
0.126846	0.002446	0.124400	0.928781	0.944937	0.967430	2.219061	68.220000	0.611937	
0.126149	0.002881	0.123268	0.928312	0.945750	0.967044	2.258461	68.300000	0.610433	
0.127595	0.002370	0.125225	0.928312	0.944875	0.966202	2.251710	68.340000	0.610712	
0.125658	0.002895	0.122763	0.930063	0.946125	0.966602	2.262718	68.220000	0.608465	
0.128857	0.002883	0.125974	0.928250	0.944844	0.966738	2.270886	68.090000	0.607950	
0.128292	0.002916	0.125376	0.929469	0.946156	0.967791	2.280596	68.290000	0.608254	
0.127454	0.002821	0.124634	0.930531	0.945094	0.967727	2.285420	68.310000	0.610012	
0.124445	0.002422	0.122022	0.932187	0.947000	0.968220	2.274305	68.290000	0.607537	
0.130260	0.003056	0.127204	0.929250	0.946094	0.967783	2.240542	68.460000	0.612295	
0.125268	0.003248	0.122020	0.925937	0.945531	0.966655	2.299961	68.230000	0.609114	
0.126490	0.002458	0.124031	0.933156	0.945812	0.966846	2.316796	68.230000	0.607522	
0.124648	0.002361	0.122288	0.930469	0.945594	0.966650	2.296076	68.130000	0.608001	
0.123761	0.002653	0.121108	0.931156	0.945187	0.966372	2.312235	67.920000	0.604527	
0.127359	0.003390	0.123969	0.929906	0.946219	0.966865	2.286269	68.120000	0.608468	
0.122846	0.002391	0.120456	0.931000	0.946094	0.967374	2.293941	67.930000	0.606768	
0.127379	0.002187	0.125192	0.931031	0.946531	0.967811	2.274740	68.190000	0.612351	
0.123067	0.002435	0.120632	0.935094	0.947156	0.966414	2.252739	68.820000	0.623925	
0.125301	0.002578	0.122723	0.934000	0.946562	0.967244	2.191298	68.950000	0.626682	
0.121833	0.002311	0.119522	0.936344	0.947031	0.966759	2.180793	69.080000	0.627767	
0.126743	0.002730	0.124013	0.933688	0.945562	0.966999	2.213442	68.980000	0.625518	
0.127239	0.002487	0.124753	0.935781	0.947313	0.966405	2.217123	69.200000	0.629221	
0.121825	0.002668	0.119157	0.936000	0.946781	0.967114	2.222741	68.990000	0.628242	
0.122999	0.003041	0.119958	0.936531	0.946031	0.965464	2.256177	68.910000	0.625048	
0.123321	0.002140	0.121181	0.936000	0.947344	0.967214	2.208521	68.820000	0.627164	
0.125344	0.002553	0.122791	0.932375	0.947063	0.967657	2.219644	68.710000	0.622481	
0.125608	0.003221	0.122388	0.933875	0.945688	0.965734	2.247196	68.370000	0.615362	
0.120328	0.002524	0.117804	0.934063	0.945594	0.965942	2.304946	68.160000	0.610582	
0.119482	0.002236	0.117246	0.939781	0.946219	0.965983	2.344607	68.010000	0.604869	
0.123264	0.002522	0.120742	0.935781	0.945500	0.966338	2.369472	67.970000	0.603581	
0.125917	0.003088	0.122829	0.936750	0.946094	0.966206	2.358070	68.210000	0.610998	
0.123632	0.002421	0.121211	0.939562	0.946625	0.966540	2.312136	68.590000	0.618111	
0.122312	0.002795	0.119517	0.938375	0.946906	0.965932	2.286885	68.720000	0.621086	
0.122344	0.002217	0.120127	0.935688	0.946812	0.965533	2.265877	68.740000	0.620519	
0.125491	0.003472	0.122019	0.937625	0.946375	0.966205	2.267072	68.510000	0.617293	
0.120676	0.002939	0.117737	0.936344	0.947000	0.966158	2.297459	68.190000	0.609894	
0.120626	0.002014	0.118612	0.939750	0.947094	0.966214	2.312445	68.270000	0.608094	
0.125682	0.002478	0.123205	0.936562	0.946469	0.966400	2.274339	68.410000	0.611635	
0.118212	0.002230	0.115982	0.937125	0.946969	0.966620	2.273266	68.550000	0.611979	
0.122923	0.003272	0.119651	0.934406	0.947406	0.966891	2.282597	68.200000	0.606506	
0.120770	0.002153	0.118617	0.938813	0.947375	0.966580	2.315293	67.970000	0.600334	
0.122264	0.002334	0.119930	0.937625	0.946812	0.965838	2.336016	68.030000	0.603195	
0.117920	0.002283	0.115637	0.935187	0.947094	0.966050	2.261183	68.700000	0.617439	
0.123946	0.002952	0.120994	0.935250	0.947063	0.965484	2.248318	68.540000	0.616928	
0.120397	0.002787	0.117610	0.933562	0.946625	0.966626	2.227621	68.550000	0.618061	
0.122335	0.002883	0.119451	0.933906	0.946094	0.966572	2.241379	68.590000	0.617592	
0.118861	0.002233	0.116628	0.934562	0.946031	0.966094	2.254411	68.830000	0.621327	
0.120697	0.003334	0.117363	0.938281	0.947219	0.966028	2.220890	69.050000	0.626363	
0.119508	0.001925	0.117583	0.940750	0.947469	0.966516	2.205284	68.720000	0.620496	
0.121423	0.001578	0.119845	0.939656	0.949219	0.966743	2.180658	68.910000	0.624314	
0.121947	0.002649	0.119298	0.940406	0.947562	0.965507	2.184255	68.720000	0.621919	
